ProductName,FormulatedFor,Description
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
4sight,EYE HEALTH,"4sight is formulated with a specific blend of antioxidants, minerals and botanicals, all of which have been demonstrated in research to support healthy eye function."
5-HTP,MOOD SUPPORT,"5-hydroxytryptophan (5-HTP) is an amino acid that plays an important 
role in the production of serotonin, a neurotransmitter associated with the 
feeling of wellbeing."
Adapten-All®,ENDOCRINE HEALTH,"Formulated for those who are “stressed and tired,” Adapten-All® includes a blend of key micronutrients and adaptogenic botanicals formulated to strengthen the body’s stress response and support healthy energy levels"
Adren-All®,ENDOCRINE HEALTH,"Formulated for those who are “stressed and tired,” Adren-All® includes a blend of key micronutrients, adaptogenic botanicals and adrenal concentrate specifically formulated to strengthen the body’s stress response and support healthy energy levels."
AdreneVive®,ENDOCRINE HEALTH,"Formulated for those who are “stressed and wired,” AdreneVive® includes a blend of adaptogenic botanicals and key nutrients specifically formulated to calm a hyperactive stress response system and counteract the effects of daily stress."
Alpha Base® Capsules without Iron,ESSENTIAL VITAMINS,"Formulated using the highest standards and most effective vitamin and mineral ingredients available, Alpha Base® provides a safe, effective supplement for lifelong nutritional support."
Alpha Base® Capsules with Iron,ESSENTIAL VITAMINS,"Formulated using the highest standards and most effective vitamin and mineral ingredients available, Alpha Base® provides a safe, effective supplement for lifelong nutritional support."
Alpha Base® PREMIER PACKS,ESSENTIAL VITAMINS,"Alpha Base® Premier Packs provide a targeted combination of three high-concentration nutritional formulas in convenient, easy-to-take packets."
Balance,"ENDOCRINE HEALTH ( WOMEN'S
HEALTH)","Balance addresses the need for healthy hormone levels with a robust formula that helps maintain the menstrual cycle, healthy progesterone-to-estrogen balance, and optimal prolactin levels."
The Power of Bergamot,Unknown,"Bergamot BPF is clinically proven to dramatically affect
 multiple biomarkers associated with cardiometabolic health."
Bergamot BPF,CARDIOVASCULAR HEALTH,"Bergamot BPF maintains normal inflammatory balance, glucose regulation, arterial health, healthy cholesterol levels already within the normal range and cardiometabolic wellness."
Betaine & Pepsin,GASTROINTESTINAL HEALTH,Betaine & Pepsin includes two essential components of healthy digestion: hydrochloric acid and the digestive enzyme pepsin.
BioPC Pro®,IMMUNE HEALTH ESSENTIAL FATTY ACIDS COGNITIVE SUPPORT,"BioPC Pro® is a highly concentrated phospholipid complex containing the natural phosphatides phosphatidylcholine, phosphatidylethanolamine, phosphatidylinositol and phosphatidylserine."
Botanicalm PM,ENDOCRINE HEALTH SLEEP SUPPORT,Botanicalm PM is formulated to induce the relaxation needed to support better sleep for those experiencing temporary sleeplessness.
Buffered Lemon C Powder,"ESSENTIAL VITAMINS IMMUNE HEALTH
 MUSCULOSKELETAL HEALTH",Vitamin C is a water-soluble vitamin most widely known for its role in supporting immune health.
Buffered C Capsules,"ESSENTIAL VITAMINS IMMUNE HEALTH
 MUSCULOSKELETAL HEALTH",Vitamin C is a water-soluble vitamin most widely known for its role in supporting immune health.
C-Flav,ESSENTIAL VITAMINS CARDIOVASCULAR HEALTH,C-Flav combines vitamin C with several bioflavonoids to mirror vitamin C found in nature.
